date,interval_start,steps,activity_level
2025-11-01,05:00,0,sedentary
2025-11-01,05:15,0,sedentary
2025-11-01,05:30,0,sedentary
2025-11-01,05:45,0,sedentary
2025-11-01,06:00,0,sedentary
2025-11-01,06:15,0,sedentary
2025-11-01,06:30,0,sedentary
2025-11-01,06:45,0,sedentary
2025-11-01,07:00,0,sedentary
2025-11-01,07:15,0,sedentary
2025-11-01,07:30,0,sedentary
2025-11-01,07:45,0,sedentary
2025-11-01,08:00,0,sedentary
2025-11-01,08:15,0,sedentary
2025-11-01,08:30,0,sedentary
2025-11-01,08:45,0,sedentary
2025-11-01,09:00,0,sedentary
2025-11-01,09:15,0,sedentary
2025-11-01,09:30,0,sedentary
2025-11-01,09:45,0,sedentary
2025-11-01,10:00,0,sedentary
2025-11-01,10:15,0,sedentary
2025-11-01,10:30,0,sedentary
2025-11-01,10:45,0,sedentary
2025-11-01,11:00,0,sedentary
2025-11-01,11:15,0,sedentary
2025-11-01,11:30,0,sedentary
2025-11-01,11:45,0,sedentary
2025-11-01,12:00,0,sedentary
2025-11-01,12:15,0,sedentary
2025-11-01,12:30,0,sedentary
2025-11-01,12:45,0,sedentary
2025-11-01,13:00,0,sedentary
2025-11-01,13:15,29,sedentary
2025-11-01,13:30,57,sedentary
2025-11-01,13:45,208,active
2025-11-01,14:00,351,active
2025-11-01,14:15,249,active
2025-11-01,14:30,397,active
2025-11-01,14:45,423,active
2025-11-01,15:00,481,active
2025-11-01,15:15,418,active
2025-11-01,15:30,386,active
2025-11-01,15:45,169,sedentary
2025-11-01,16:00,50,sedentary
2025-11-01,16:15,211,sedentary
2025-11-01,16:30,221,active
2025-11-01,16:45,563,active
2025-11-01,17:00,124,sedentary
2025-11-01,17:15,356,active
2025-11-01,17:30,242,generic
2025-11-01,17:45,232,active
2025-11-01,18:00,135,generic
2025-11-01,18:15,116,sedentary
2025-11-01,18:30,9,sedentary
2025-11-01,18:45,12,sedentary
2025-11-01,19:00,85,generic
2025-11-01,19:15,325,active
2025-11-01,19:30,208,sedentary
2025-11-01,19:45,36,sedentary
2025-11-01,20:00,206,sedentary
2025-11-01,20:15,176,active
2025-11-01,20:30,227,active
2025-11-01,20:45,274,highlyActive
2025-11-01,21:00,248,active
2025-11-01,21:15,73,sedentary
2025-11-01,21:30,58,sedentary
2025-11-01,21:45,248,active
2025-11-01,22:00,415,active
2025-11-01,22:15,278,active
2025-11-01,22:30,537,active
2025-11-01,22:45,341,active
2025-11-01,23:00,201,highlyActive
2025-11-01,23:15,352,highlyActive
2025-11-01,23:30,340,active
2025-11-01,23:45,239,active
2025-11-01,00:00,92,sedentary
2025-11-01,00:15,344,sedentary
2025-11-01,00:30,239,active
2025-11-01,00:45,214,sedentary
2025-11-01,01:00,0,sedentary
2025-11-01,01:15,820,active
2025-11-01,01:30,25,sedentary
2025-11-01,01:45,77,sedentary
2025-11-01,02:00,130,sedentary
2025-11-01,02:15,37,sedentary
2025-11-01,02:30,0,sedentary
2025-11-01,02:45,0,sedentary
2025-11-01,03:00,0,sleeping
2025-11-01,03:15,0,sleeping
2025-11-01,03:30,0,sleeping
2025-11-01,03:45,0,sleeping
2025-11-01,04:00,0,sleeping
2025-11-01,04:15,15,sleeping
2025-11-01,04:30,0,sleeping
2025-11-01,04:45,0,sleeping
2025-11-02,06:00,0,sleeping
2025-11-02,06:15,0,sleeping
2025-11-02,06:30,0,sleeping
2025-11-02,06:45,0,sleeping
2025-11-02,07:00,0,sleeping
2025-11-02,07:15,0,sleeping
2025-11-02,07:30,0,sleeping
2025-11-02,07:45,0,sleeping
2025-11-02,08:00,0,sleeping
2025-11-02,08:15,0,sleeping
2025-11-02,08:30,0,sleeping
2025-11-02,08:45,0,sleeping
2025-11-02,09:00,0,sleeping
2025-11-02,09:15,0,sleeping
2025-11-02,09:30,0,sleeping
2025-11-02,09:45,0,sleeping
2025-11-02,10:00,0,sleeping
2025-11-02,10:15,0,sleeping
2025-11-02,10:30,0,sleeping
2025-11-02,10:45,0,sleeping
2025-11-02,11:00,0,sleeping
2025-11-02,11:15,0,sleeping
2025-11-02,11:30,0,sleeping
2025-11-02,11:45,0,sleeping
2025-11-02,12:00,0,sleeping
2025-11-02,12:15,0,sleeping
2025-11-02,12:30,0,sleeping
2025-11-02,12:45,0,sedentary
2025-11-02,13:00,86,sedentary
2025-11-02,13:15,13,sedentary
2025-11-02,13:30,74,sedentary
2025-11-02,13:45,195,active
2025-11-02,14:00,220,active
2025-11-02,14:15,0,sedentary
2025-11-02,14:30,173,sedentary
2025-11-02,14:45,85,sedentary
2025-11-02,15:00,31,sedentary
2025-11-02,15:15,176,active
2025-11-02,15:30,162,generic
2025-11-02,15:45,94,generic
2025-11-02,16:00,213,generic
2025-11-02,16:15,169,active
2025-11-02,16:30,147,active
2025-11-02,16:45,172,generic
2025-11-02,17:00,224,highlyActive
2025-11-02,17:15,241,active
2025-11-02,17:30,18,sedentary
2025-11-02,17:45,385,active
2025-11-02,18:00,9,sedentary
2025-11-02,18:15,31,sedentary
2025-11-02,18:30,13,sedentary
2025-11-02,18:45,5,sedentary
2025-11-02,19:00,212,active
2025-11-02,19:15,36,sedentary
2025-11-02,19:30,6,sedentary
2025-11-02,19:45,0,sedentary
2025-11-02,20:00,194,active
2025-11-02,20:15,104,generic
2025-11-02,20:30,46,sedentary
2025-11-02,20:45,153,sedentary
2025-11-02,21:00,6,sedentary
2025-11-02,21:15,9,sedentary
2025-11-02,21:30,54,sedentary
2025-11-02,21:45,37,sedentary
2025-11-02,22:00,18,sedentary
2025-11-02,22:15,9,sedentary
2025-11-02,22:30,0,sedentary
2025-11-02,22:45,87,sedentary
2025-11-02,23:00,0,sedentary
2025-11-02,23:15,35,sedentary
2025-11-02,23:30,36,sedentary
2025-11-02,23:45,0,sedentary
2025-11-02,00:00,515,active
2025-11-02,00:15,34,sedentary
2025-11-02,00:30,33,sedentary
2025-11-02,00:45,55,sedentary
2025-11-02,01:00,0,sedentary
2025-11-02,01:15,0,sedentary
2025-11-02,01:30,33,sedentary
2025-11-02,01:45,136,active
2025-11-02,02:00,9,sedentary
2025-11-02,02:15,0,sleeping
2025-11-02,02:30,0,sleeping
2025-11-02,02:45,0,sleeping
2025-11-02,03:00,0,sleeping
2025-11-02,03:15,0,sleeping
2025-11-02,03:30,0,sleeping
2025-11-02,03:45,0,sleeping
2025-11-02,04:00,0,sleeping
2025-11-02,04:15,0,sleeping
2025-11-02,04:30,0,sleeping
2025-11-02,04:45,0,sleeping
2025-11-02,05:00,0,sleeping
2025-11-02,05:15,0,sleeping
2025-11-02,05:30,0,sleeping
2025-11-02,05:45,0,sleeping
2025-11-03,06:00,0,sleeping
2025-11-03,06:15,11,sleeping
2025-11-03,06:30,0,sleeping
2025-11-03,06:45,0,sleeping
2025-11-03,07:00,0,sleeping
2025-11-03,07:15,0,sleeping
2025-11-03,07:30,0,sleeping
2025-11-03,07:45,0,sleeping
2025-11-03,08:00,0,sleeping
2025-11-03,08:15,0,sleeping
2025-11-03,08:30,0,sleeping
2025-11-03,08:45,0,sleeping
2025-11-03,09:00,0,sleeping
2025-11-03,09:15,0,sleeping
2025-11-03,09:30,0,sleeping
2025-11-03,09:45,0,sleeping
2025-11-03,10:00,0,sleeping
2025-11-03,10:15,0,sleeping
2025-11-03,10:30,0,sleeping
2025-11-03,10:45,0,sleeping
2025-11-03,11:00,0,sleeping
2025-11-03,11:15,0,sleeping
2025-11-03,11:30,0,sleeping
2025-11-03,11:45,0,sleeping
2025-11-03,12:00,49,sleeping
2025-11-03,12:15,21,sedentary
2025-11-03,12:30,219,active
2025-11-03,12:45,111,generic
2025-11-03,13:00,120,generic
2025-11-03,13:15,192,generic
2025-11-03,13:30,247,generic
