user_id,sync_date,metric_type,status,synced_at,error_message,created_at
1,2025-03-13,daily_summary,skipped,"2026-03-13 02:52:36.636943",,"2026-03-13 02:52:33.328753"
1,2025-03-13,sleep,skipped,"2026-03-13 03:03:50.121709",,"2026-03-13 02:52:33.330533"
1,2025-03-13,activities,pending,,,"2026-03-13 02:52:33.331664"
1,2025-03-13,body_battery,skipped,"2026-03-13 03:03:50.173373",,"2026-03-13 02:52:33.332821"
1,2025-03-13,stress,skipped,"2026-03-13 02:52:36.935584",,"2026-03-13 02:52:33.333858"
1,2025-03-13,heart_rate,completed,"2026-03-13 02:52:37.025815",,"2026-03-13 02:52:33.334819"
1,2025-03-13,training_readiness,skipped,"2026-03-13 02:52:37.065232",,"2026-03-13 02:52:33.335727"
1,2025-03-13,hrv,skipped,"2026-03-13 02:52:37.100433",,"2026-03-13 02:52:33.336702"
1,2025-03-13,respiration,skipped,"2026-03-13 02:52:37.156144",,"2026-03-13 02:52:33.337805"
1,2025-03-13,steps,skipped,"2026-03-13 02:52:37.194887",,"2026-03-13 02:52:33.338861"
1,2025-03-13,calories,skipped,"2026-03-13 02:52:37.283599",,"2026-03-13 02:52:33.339874"
1,2025-03-14,daily_summary,skipped,"2026-03-13 02:52:37.372540",,"2026-03-13 02:52:33.340851"
1,2025-03-14,sleep,skipped,"2026-03-13 03:03:50.246209",,"2026-03-13 02:52:33.341778"
1,2025-03-14,activities,pending,,,"2026-03-13 02:52:33.342755"
1,2025-03-14,body_battery,skipped,"2026-03-13 03:03:50.289891",,"2026-03-13 02:52:33.343678"
1,2025-03-14,stress,skipped,"2026-03-13 02:52:37.536007",,"2026-03-13 02:52:33.344487"
1,2025-03-14,heart_rate,completed,"2026-03-13 02:52:37.619367",,"2026-03-13 02:52:33.345430"
1,2025-03-14,training_readiness,skipped,"2026-03-13 02:52:37.657151",,"2026-03-13 02:52:33.346333"
1,2025-03-14,hrv,skipped,"2026-03-13 02:52:37.693948",,"2026-03-13 02:52:33.347212"
1,2025-03-14,respiration,skipped,"2026-03-13 02:52:37.754278",,"2026-03-13 02:52:33.348175"
1,2025-03-14,steps,skipped,"2026-03-13 02:52:37.788632",,"2026-03-13 02:52:33.349100"
1,2025-03-14,calories,skipped,"2026-03-13 02:52:37.874822",,"2026-03-13 02:52:33.349888"
1,2025-03-15,daily_summary,skipped,"2026-03-13 02:52:37.960517",,"2026-03-13 02:52:33.350877"
1,2025-03-15,sleep,skipped,"2026-03-13 03:03:50.365224",,"2026-03-13 02:52:33.351686"
1,2025-03-15,activities,pending,,,"2026-03-13 02:52:33.352381"
1,2025-03-15,body_battery,skipped,"2026-03-13 03:03:50.415803",,"2026-03-13 02:52:33.353073"
1,2025-03-15,stress,skipped,"2026-03-13 02:52:38.111779",,"2026-03-13 02:52:33.353823"
1,2025-03-15,heart_rate,completed,"2026-03-13 02:52:38.198121",,"2026-03-13 02:52:33.354566"
1,2025-03-15,training_readiness,skipped,"2026-03-13 02:52:38.233911",,"2026-03-13 02:52:33.355324"
1,2025-03-15,hrv,skipped,"2026-03-13 02:52:38.268787",,"2026-03-13 02:52:33.356036"
1,2025-03-15,respiration,skipped,"2026-03-13 02:52:38.320875",,"2026-03-13 02:52:33.356749"
1,2025-03-15,steps,skipped,"2026-03-13 02:52:38.354356",,"2026-03-13 02:52:33.357635"
1,2025-03-15,calories,skipped,"2026-03-13 02:52:38.436947",,"2026-03-13 02:52:33.358446"
1,2025-03-16,daily_summary,skipped,"2026-03-13 02:52:38.514777",,"2026-03-13 02:52:33.359358"
1,2025-03-16,sleep,skipped,"2026-03-13 03:03:50.494942",,"2026-03-13 02:52:33.360161"
1,2025-03-16,activities,pending,,,"2026-03-13 02:52:33.360894"
1,2025-03-16,body_battery,skipped,"2026-03-13 03:03:50.535646",,"2026-03-13 02:52:33.361846"
1,2025-03-16,stress,skipped,"2026-03-13 02:52:38.679218",,"2026-03-13 02:52:33.362660"
1,2025-03-16,heart_rate,completed,"2026-03-13 02:52:38.779271",,"2026-03-13 02:52:33.363562"
1,2025-03-16,training_readiness,skipped,"2026-03-13 02:52:38.814353",,"2026-03-13 02:52:33.364399"
1,2025-03-16,hrv,skipped,"2026-03-13 02:52:38.852629",,"2026-03-13 02:52:33.365253"
1,2025-03-16,respiration,skipped,"2026-03-13 02:52:38.911443",,"2026-03-13 02:52:33.366198"
1,2025-03-16,steps,skipped,"2026-03-13 02:52:38.945877",,"2026-03-13 02:52:33.366997"
1,2025-03-16,calories,skipped,"2026-03-13 02:52:39.036957",,"2026-03-13 02:52:33.367781"
1,2025-03-17,daily_summary,skipped,"2026-03-13 02:52:39.127034",,"2026-03-13 02:52:33.368499"
1,2025-03-17,sleep,skipped,"2026-03-13 03:03:50.613775",,"2026-03-13 02:52:33.369150"
1,2025-03-17,activities,pending,,,"2026-03-13 02:52:33.369779"
1,2025-03-17,body_battery,skipped,"2026-03-13 03:03:50.661562",,"2026-03-13 02:52:33.370447"
1,2025-03-17,stress,skipped,"2026-03-13 02:52:39.298039",,"2026-03-13 02:52:33.371113"
1,2025-03-17,heart_rate,completed,"2026-03-13 02:52:39.388203",,"2026-03-13 02:52:33.371850"
1,2025-03-17,training_readiness,skipped,"2026-03-13 02:52:39.427131",,"2026-03-13 02:52:33.372944"
1,2025-03-17,hrv,skipped,"2026-03-13 02:52:39.463910",,"2026-03-13 02:52:33.373999"
1,2025-03-17,respiration,skipped,"2026-03-13 02:52:39.513872",,"2026-03-13 02:52:33.375017"
1,2025-03-17,steps,skipped,"2026-03-13 02:52:39.550116",,"2026-03-13 02:52:33.375979"
1,2025-03-17,calories,skipped,"2026-03-13 02:52:39.629519",,"2026-03-13 02:52:33.376944"
1,2025-03-18,daily_summary,skipped,"2026-03-13 02:52:39.717523",,"2026-03-13 02:52:33.377857"
1,2025-03-18,sleep,skipped,"2026-03-13 03:03:50.735117",,"2026-03-13 02:52:33.378857"
1,2025-03-18,activities,pending,,,"2026-03-13 02:52:33.379828"
1,2025-03-18,body_battery,skipped,"2026-03-13 03:03:50.782725",,"2026-03-13 02:52:33.380894"
1,2025-03-18,stress,skipped,"2026-03-13 02:52:39.881996",,"2026-03-13 02:52:33.381833"
1,2025-03-18,heart_rate,completed,"2026-03-13 02:52:39.968063",,"2026-03-13 02:52:33.382778"
1,2025-03-18,training_readiness,skipped,"2026-03-13 02:52:40.010688",,"2026-03-13 02:52:33.383705"
1,2025-03-18,hrv,skipped,"2026-03-13 02:52:40.055079",,"2026-03-13 02:52:33.384774"
1,2025-03-18,respiration,skipped,"2026-03-13 02:52:40.109641",,"2026-03-13 02:52:33.385609"
1,2025-03-18,steps,skipped,"2026-03-13 02:52:40.148740",,"2026-03-13 02:52:33.386373"
1,2025-03-18,calories,skipped,"2026-03-13 02:52:40.228725",,"2026-03-13 02:52:33.387053"
1,2025-03-19,daily_summary,skipped,"2026-03-13 02:52:40.310593",,"2026-03-13 02:52:33.387716"
1,2025-03-19,sleep,skipped,"2026-03-13 03:03:50.866661",,"2026-03-13 02:52:33.388365"
1,2025-03-19,activities,pending,,,"2026-03-13 02:52:33.389014"
1,2025-03-19,body_battery,skipped,"2026-03-13 03:03:50.916506",,"2026-03-13 02:52:33.392362"
1,2025-03-19,stress,skipped,"2026-03-13 02:52:40.484712",,"2026-03-13 02:52:33.393997"
1,2025-03-19,heart_rate,completed,"2026-03-13 02:52:40.571220",,"2026-03-13 02:52:33.395587"
1,2025-03-19,training_readiness,skipped,"2026-03-13 02:52:40.613073",,"2026-03-13 02:52:33.396762"
1,2025-03-19,hrv,skipped,"2026-03-13 02:52:40.646061",,"2026-03-13 02:52:33.398307"
1,2025-03-19,respiration,skipped,"2026-03-13 02:52:40.703619",,"2026-03-13 02:52:33.400303"
1,2025-03-19,steps,skipped,"2026-03-13 02:52:40.737273",,"2026-03-13 02:52:33.401703"
1,2025-03-19,calories,skipped,"2026-03-13 02:52:40.813805",,"2026-03-13 02:52:33.402754"
1,2025-03-20,daily_summary,skipped,"2026-03-13 02:52:40.892482",,"2026-03-13 02:52:33.403853"
1,2025-03-20,sleep,skipped,"2026-03-13 03:03:51.008267",,"2026-03-13 02:52:33.404787"
1,2025-03-20,activities,pending,,,"2026-03-13 02:52:33.405758"
1,2025-03-20,body_battery,skipped,"2026-03-13 03:03:51.059555",,"2026-03-13 02:52:33.406832"
1,2025-03-20,stress,skipped,"2026-03-13 02:52:41.050949",,"2026-03-13 02:52:33.407821"
1,2025-03-20,heart_rate,completed,"2026-03-13 02:52:41.130436",,"2026-03-13 02:52:33.408808"
1,2025-03-20,training_readiness,skipped,"2026-03-13 02:52:41.166137",,"2026-03-13 02:52:33.409940"
1,2025-03-20,hrv,skipped,"2026-03-13 02:52:41.203059",,"2026-03-13 02:52:33.410832"
1,2025-03-20,respiration,skipped,"2026-03-13 02:52:41.253432",,"2026-03-13 02:52:33.411675"
1,2025-03-20,steps,skipped,"2026-03-13 02:52:41.293325",,"2026-03-13 02:52:33.412987"
1,2025-03-20,calories,skipped,"2026-03-13 02:52:41.388969",,"2026-03-13 02:52:33.415137"
1,2025-03-21,daily_summary,skipped,"2026-03-13 02:52:41.477972",,"2026-03-13 02:52:33.416650"
1,2025-03-21,sleep,skipped,"2026-03-13 03:03:51.141636",,"2026-03-13 02:52:33.417675"
1,2025-03-21,activities,pending,,,"2026-03-13 02:52:33.418548"
1,2025-03-21,body_battery,skipped,"2026-03-13 03:03:51.190854",,"2026-03-13 02:52:33.419440"
1,2025-03-21,stress,skipped,"2026-03-13 02:52:41.650699",,"2026-03-13 02:52:33.420195"
1,2025-03-21,heart_rate,completed,"2026-03-13 02:52:41.741770",,"2026-03-13 02:52:33.420996"
1,2025-03-21,training_readiness,skipped,"2026-03-13 02:52:41.807119",,"2026-03-13 02:52:33.421761"
1,2025-03-21,hrv,skipped,"2026-03-13 02:52:41.843823",,"2026-03-13 02:52:33.422425"
1,2025-03-21,respiration,skipped,"2026-03-13 02:52:41.894136",,"2026-03-13 02:52:33.423281"
1,2025-03-21,steps,skipped,"2026-03-13 02:52:41.927647",,"2026-03-13 02:52:33.424242"
1,2025-03-21,calories,skipped,"2026-03-13 02:52:42.035893",,"2026-03-13 02:52:33.425005"
1,2025-03-22,daily_summary,skipped,"2026-03-13 02:52:42.188612",,"2026-03-13 02:52:33.425798"
1,2025-03-22,sleep,skipped,"2026-03-13 03:03:51.270778",,"2026-03-13 02:52:33.426588"
1,2025-03-22,activities,pending,,,"2026-03-13 02:52:33.427235"
1,2025-03-22,body_battery,skipped,"2026-03-13 03:03:51.317774",,"2026-03-13 02:52:33.427953"
1,2025-03-22,stress,skipped,"2026-03-13 02:52:42.478297",,"2026-03-13 02:52:33.428631"
1,2025-03-22,heart_rate,completed,"2026-03-13 02:52:42.571801",,"2026-03-13 02:52:33.429474"
1,2025-03-22,training_readiness,skipped,"2026-03-13 02:52:42.630273",,"2026-03-13 02:52:33.430235"
1,2025-03-22,hrv,skipped,"2026-03-13 02:52:42.701005",,"2026-03-13 02:52:33.430954"
1,2025-03-22,respiration,skipped,"2026-03-13 02:52:42.805817",,"2026-03-13 02:52:33.431623"
1,2025-03-22,steps,skipped,"2026-03-13 02:52:42.848011",,"2026-03-13 02:52:33.432258"
1,2025-03-22,calories,skipped,"2026-03-13 02:52:43.034621",,"2026-03-13 02:52:33.433299"
1,2025-03-23,daily_summary,skipped,"2026-03-13 02:52:43.199134",,"2026-03-13 02:52:33.434478"
1,2025-03-23,sleep,skipped,"2026-03-13 03:03:51.392733",,"2026-03-13 02:52:33.435231"
1,2025-03-23,activities,pending,,,"2026-03-13 02:52:33.436113"
1,2025-03-23,body_battery,skipped,"2026-03-13 03:03:51.443962",,"2026-03-13 02:52:33.437039"
1,2025-03-23,stress,skipped,"2026-03-13 02:52:43.413865",,"2026-03-13 02:52:33.438015"
1,2025-03-23,heart_rate,completed,"2026-03-13 02:52:43.497408",,"2026-03-13 02:52:33.438993"
1,2025-03-23,training_readiness,skipped,"2026-03-13 02:52:43.538826",,"2026-03-13 02:52:33.439946"
1,2025-03-23,hrv,skipped,"2026-03-13 02:52:43.579357",,"2026-03-13 02:52:33.440755"
1,2025-03-23,respiration,skipped,"2026-03-13 02:52:43.630891",,"2026-03-13 02:52:33.441707"
1,2025-03-23,steps,skipped,"2026-03-13 02:52:43.671043",,"2026-03-13 02:52:33.442843"
1,2025-03-23,calories,skipped,"2026-03-13 02:52:43.794671",,"2026-03-13 02:52:33.443861"
1,2025-03-24,daily_summary,skipped,"2026-03-13 02:52:43.877606",,"2026-03-13 02:52:33.444699"
1,2025-03-24,sleep,skipped,"2026-03-13 03:03:51.529229",,"2026-03-13 02:52:33.445386"
1,2025-03-24,activities,pending,,,"2026-03-13 02:52:33.446160"
1,2025-03-24,body_battery,skipped,"2026-03-13 03:03:51.577715",,"2026-03-13 02:52:33.447069"
1,2025-03-24,stress,skipped,"2026-03-13 02:52:44.037431",,"2026-03-13 02:52:33.447850"
1,2025-03-24,heart_rate,completed,"2026-03-13 02:52:44.120002",,"2026-03-13 02:52:33.448651"
1,2025-03-24,training_readiness,skipped,"2026-03-13 02:52:44.155864",,"2026-03-13 02:52:33.449498"
1,2025-03-24,hrv,skipped,"2026-03-13 02:52:44.192340",,"2026-03-13 02:52:33.450564"
1,2025-03-24,respiration,skipped,"2026-03-13 02:52:44.243580",,"2026-03-13 02:52:33.451611"
1,2025-03-24,steps,skipped,"2026-03-13 02:52:44.281514",,"2026-03-13 02:52:33.452528"
1,2025-03-24,calories,skipped,"2026-03-13 02:52:44.368723",,"2026-03-13 02:52:33.453429"
1,2025-03-25,daily_summary,skipped,"2026-03-13 02:52:44.459721",,"2026-03-13 02:52:33.454278"
1,2025-03-25,sleep,skipped,"2026-03-13 03:03:51.662924",,"2026-03-13 02:52:33.455015"
1,2025-03-25,activities,pending,,,"2026-03-13 02:52:33.455816"
1,2025-03-25,body_battery,skipped,"2026-03-13 03:03:51.712403",,"2026-03-13 02:52:33.456592"
1,2025-03-25,stress,skipped,"2026-03-13 02:52:44.617365",,"2026-03-13 02:52:33.457639"
1,2025-03-25,heart_rate,completed,"2026-03-13 02:52:44.706404",,"2026-03-13 02:52:33.458436"
1,2025-03-25,training_readiness,skipped,"2026-03-13 02:52:44.739493",,"2026-03-13 02:52:33.459365"
1,2025-03-25,hrv,skipped,"2026-03-13 02:52:44.775060",,"2026-03-13 02:52:33.460155"
1,2025-03-25,respiration,skipped,"2026-03-13 02:52:44.821273",,"2026-03-13 02:52:33.460882"
1,2025-03-25,steps,skipped,"2026-03-13 02:52:44.853194",,"2026-03-13 02:52:33.461569"
1,2025-03-25,calories,skipped,"2026-03-13 02:52:44.936782",,"2026-03-13 02:52:33.462344"
1,2025-03-26,daily_summary,skipped,"2026-03-13 02:52:45.027204",,"2026-03-13 02:52:33.463060"
1,2025-03-26,sleep,skipped,"2026-03-13 03:03:51.793641",,"2026-03-13 02:52:33.463806"
1,2025-03-26,activities,pending,,,"2026-03-13 02:52:33.464518"
1,2025-03-26,body_battery,skipped,"2026-03-13 03:03:51.840035",,"2026-03-13 02:52:33.465214"
1,2025-03-26,stress,skipped,"2026-03-13 02:52:45.183204",,"2026-03-13 02:52:33.466023"
1,2025-03-26,heart_rate,completed,"2026-03-13 02:52:45.263494",,"2026-03-13 02:52:33.466973"
1,2025-03-26,training_readiness,skipped,"2026-03-13 02:52:45.298337",,"2026-03-13 02:52:33.467996"
