timestamp,date,hour,stress_avg,stress_min,stress_max,stress_count,simulated_body_battery
2020-09-20 22:00:00,2020-09-20,22,8.3,0,23,58,76.0
2020-09-20 23:00:00,2020-09-20,23,5.1,0,18,60,77.0
2020-09-21 00:00:00,2020-09-21,0,2.0,0,16,60,84.9
2020-09-21 01:00:00,2020-09-21,1,2.9,0,17,59,92.8
2020-09-21 02:00:00,2020-09-21,2,17.6,0,78,52,100
2020-09-21 03:00:00,2020-09-21,3,13.9,0,24,60,100
2020-09-21 04:00:00,2020-09-21,4,11.2,0,24,60,100
2020-09-21 05:00:00,2020-09-21,5,12.3,1,24,57,100
2020-09-21 06:00:00,2020-09-21,6,38.0,1,99,33,100
2020-09-21 07:00:00,2020-09-21,7,81.6,66,99,16,94.2
2020-09-21 08:00:00,2020-09-21,8,45.0,1,99,9,91.6
2020-09-21 09:00:00,2020-09-21,9,55.7,5,91,29,88.2
2020-09-21 10:00:00,2020-09-21,10,20.7,0,78,30,89.2
2020-09-21 12:00:00,2020-09-21,12,75.5,69,82,2,84.1
2020-09-21 14:00:00,2020-09-21,14,79.0,79,79,1,78.6
2020-09-21 15:00:00,2020-09-21,15,40.5,17,90,21,76.4
2020-09-21 16:00:00,2020-09-21,16,44.8,21,84,30,73.8
2020-09-21 17:00:00,2020-09-21,17,23.5,13,29,11,74.8
2020-09-21 18:00:00,2020-09-21,18,26.6,15,82,32,73.7
2020-09-21 19:00:00,2020-09-21,19,23.5,13,34,55,74.7
2020-09-21 20:00:00,2020-09-21,20,19.2,3,34,46,75.7
2020-09-21 21:00:00,2020-09-21,21,12.9,0,78,51,76.7
2020-09-21 22:00:00,2020-09-21,22,7.6,0,20,59,77.7
2020-09-21 23:00:00,2020-09-21,23,5.1,0,17,60,78.7
2020-09-22 00:00:00,2020-09-22,0,9.3,0,24,60,86.3
2020-09-22 01:00:00,2020-09-22,1,6.9,0,23,59,94.0
2020-09-22 02:00:00,2020-09-22,2,10.0,0,40,58,100
2020-09-22 03:00:00,2020-09-22,3,11.0,0,46,58,100
2020-09-22 04:00:00,2020-09-22,4,17.4,1,33,58,100
2020-09-22 05:00:00,2020-09-22,5,16.8,0,57,40,100
2020-09-22 06:00:00,2020-09-22,6,36.8,7,85,37,100
2020-09-22 07:00:00,2020-09-22,7,79.5,69,92,11,94.5
2020-09-22 08:00:00,2020-09-22,8,70.1,45,96,7,89.8
2020-09-22 09:00:00,2020-09-22,9,65.3,17,93,26,85.6
2020-09-22 10:00:00,2020-09-22,10,73.2,45,91,5,80.8
2020-09-22 11:00:00,2020-09-22,11,36.2,1,80,37,78.9
2020-09-22 12:00:00,2020-09-22,12,52.9,39,76,10,75.6
2020-09-22 14:00:00,2020-09-22,14,47.6,3,75,28,72.8
2020-09-22 15:00:00,2020-09-22,15,50.5,33,76,32,69.8
2020-09-22 16:00:00,2020-09-22,16,63.3,39,77,41,65.7
